domain,country,kind,name,verdict,platform_key,richness,products,crawl_delay,category_url,feed,scope
birdsong.cz,CZ,roaster,Birdsong,partially_restricted,shoptet,high,~14 coffees (13-15 product tiles on the single /kava/ page; sitemap.xml lists 14 /kava/<slug>/ product URLs),none,https://www.birdsong.cz/kava/,"https://www.birdsong.cz/sitemap.xml (93 <loc> entries, 14 of them /kava/ products). Shoptet's /export/ feed directory exists but is explicitly 'Disallow: /export/'.",primary
alacoffee.cz,CZ,roaster,Ala Coffee,partially_restricted,shoptet,high,"~20 coffee items (12 product tiles on page 1, pager shows '1 z 2' with /kava/strana-2/; sitemap.xml has 104 URLs across all categories, with sub-categories /jednodruhove/ and /smesi/)",none,https://www.alacoffee.cz/kava/,"https://www.alacoffee.cz/sitemap.xml (104 URLs; products live at root-level slugs, e.g. /ethiopia-negele/). Shoptet /export/ feeds are disallowed by robots.",primary
copcoffee.cz,CZ,roaster,CopCoffee,allowed,joomla,high,"~7 whole-bean coffees on the main /vyberova-kava listing (page label '7 z 7'), split across sub-categories /vyberova-kava/kava-na-espresso and /vyberova-kava/kava-na-filtr; pagination offers results,1-12 / 1-18 / 1-24 / 1-100",none,https://copcoffee.cz/vyberova-kava,"Joomla JMap sitemap: https://www.copcoffee.cz/index.php?option=com_jmap&view=sitemap&format=xml — 41 <loc> entries, but they are category listing URLs (e.g. /vyberova-kava/results,1-12) and CMS pages; individual product URLs are NOT listed, so products must be discovered from the listing pages.",primary
kafec.cz,CZ,roaster,Kafec,allowed,custom,high,7 coffees listed (7 /vyberove-kavy/<slug> links; no pagination),none,https://kafec.cz/vyberove-kavy,none found (robots.txt carries no Sitemap: line; no sitemap request was made beyond robots),primary
candycane.cz,CZ,roaster,Candycane Coffee,allowed,custom,high,14 items on the coffee category page (12 coffees plus cascara/subscription items); sub-filters ?subCategory=espresso|filtr|decaf|kapsle|cascara. Sitemap lists 179 /produkty/ URLs across the whole shop (coffee + Ajala chocolate + gear + courses).,none,https://www.candycane.coffee/kategorie/kava,"https://www.candycane.coffee/sitemap.xml — 510 <loc> entries, 179 of them /produkty/<slug> product URLs (usable as a crawl list; not a priced feed).",primary
triplefivecoffee.com,SK,roaster,Triple Five Coffee,allowed,woocommerce,high,"11 (""Zobrazuje sa 11 výsledkov"", single page, no pagination)",none,https://triplefivecoffee.com/product-category/kava/,none found beyond sitemap index https://triplefivecoffee.com/sitemap_index.xml (not fetched),primary
thisisjungle.sk,SK,roaster,Jungle Roastery,partially_restricted,shoptet,high,"18 (""18 položiek"" label; 21 data-micro-product-id blocks on page incl. cross-sell, ""Zobraziť viac produktov"" lazy pagination)",none,https://www.jungleroastery.sk/kava/,"Sitemap named in robots: https://www.jungleroastery.sk/sitemap.xml (not fetched — per-site request budget reached). Shoptet shops also typically expose Heureka/Google XML feeds, not probed.",primary
kavaondrejka.sk,SK,roaster,Káva Ondrejka,allowed,woocommerce,high,"~7 coffee products listed on /obchod/ (no result-count label, no pagination)",none,"https://www.kavaondrejka.sk/obchod/ (categories: /kategoria-produktu/espresso/, /alternativne-sposoby/, /bezkofeinova-kava/)","WooCommerce feeds exist (/obchod/feed/, /feed/ — RSS, not a product feed); sitemap index https://www.kavaondrejka.sk/sitemap_index.xml (not fetched)",primary
mlsnacava.sk,SK,roaster,Mlsnacava,allowed,woocommerce,high,"12 (""12 výsledkov"" on /obchod/; 6 coffee products visible in first grid)",none,https://mlsnacava.sk/obchod/,none found; robots names sitemap.xml and sitemap_index.xml (not fetched),primary
cipollacaffe.sk,SK,roaster,Cipolla Caffé,allowed,custom,high,"31 (""31 produktov"" label; 31 distinct /produkt/ links on the page)",none,https://www.cipollacaffe.sk/kava,none found; sitemap named in robots: https://www.cipollacaffe.sk/sitemap.xml (not fetched),primary
thefleckcoffee.com,SK,roaster,The Fleck Coffee Roasters,allowed,webnode,high,~12 items listed on /eshop/ (10 coffees + 2 gift vouchers); sitemap.xml lists the same /p/ product URLs,10,https://www.thefleckcoffee.com/eshop/,https://thefleckcoffee.com/sitemap.xml (flat URL sitemap incl. all /p/ product pages); no dedicated XML product feed found,primary
barzzuz.sk,SK,roaster,Barzzuz,allowed,joomla,low,"0 — no product listing exists; the ""Káva Barzzuz"" page is a text/info page (~9.8 KB) with no products, prices or add-to-cart",none,https://www.barzzuz.sk/kava/kava/kava-barzzuz.html,none found,primary
simplecoffee.eu,SK,roaster,Simple Coffee,allowed,woocommerce,medium,"29 (page states ""Zobrazuje sa 29 výsledkov""); subcategories: arabika, espresso-zmesi, kava-na-filter, zrnkova-kava-do-kavovaru",none,https://simplecoffee.sk/kategorie/zrnkova-kava/,"https://simplecoffee.sk/product-sitemap.xml (Yoast product sitemap, from sitemap_index.xml). No XML/CSV merchant feed exposed publicly.",primary
coffeesheep.sk,SK,roaster,CoffeeSheep,partially_restricted,shoptet,high,"~16 coffee products directly under /kava/ (plus 3 under /espresso/, dedicated /filtrovana-kava/ and /degustacne-balicky/ sections); site sitemap.xml lists 173 URLs across all categories incl. tea and equipment",none,https://www.coffeesheep.sk/kava/,"https://www.coffeesheep.sk/sitemap.xml (Shoptet sitemap, 173 URLs incl. product pages). Note robots blocks /export/ — the typical Shoptet XML feed location — so do not fetch feeds there.",primary
zrnco.sk,SK,roaster,ZRNCO,allowed,woocommerce,high,"~11 products linked from /obchod/ (single-origin coffees Brazília, Etiópia, Kolumbia, Peru, plus degustačná sada, mlynček, šálky, poukážka, bundles)",none,https://www.zrnco.sk/obchod/,https://www.zrnco.sk/product-sitemap.xml and https://www.zrnco.sk/produkty-sitemap.xml (both listed in sitemap_index.xml). No public merchant XML/CSV feed found.,primary
praziarnicka.sk,SK,roaster,Pražiarnička,allowed,custom,medium,"6 (JSON-LD ItemList on /eshop has positions 1-6, single page)",none,https://praziarnicka.sk/eshop,https://praziarnicka.sk/sitemap.xml (declared in robots.txt; not fetched),primary
prazirnabrno.cz,CZ,roaster,Pražírna Brno,partially_restricted,shoptet,high,"~11-20 whole-bean coffees (10 products rendered on page 1, pagination link /prazena-kava/strana-2 exists, no page 3)",none,https://www.prazirnabrno.cz/prazena-kava/,https://www.prazirnabrno.cz/sitemap.xml -> sitemapindex pointing to https://www.prazirnabrno.cz/sitemaps/sitemap0.xml.gz (gzipped URL list). Note /export/ (the usual Shoptet XML feed dir) is disallowed for *.,primary
motmot.cz,CZ,roaster,MOTMOT coffee roasters,partially_restricted,shoptet,high,"11 on /espresso/ (11 distinct data-micro-product-id, no pagination links); more coffees live in sibling categories /filtr/, /kapsle/, /kava-pomaha/",none,https://www.motmot.cz/espresso/,"https://www.motmot.cz/sitemap.xml — a flat <urlset> of page/category/product URLs (not gzipped, not an index). /export/ is disallowed for *.",primary
kopibean.cz,CZ,roaster,Kopi Bean,allowed,upgates,medium,~26 coffee products linked on /kava (26 distinct /p/ links on the first render; no explicit count label found),none,https://www.kopibean.cz/kava,https://www.kopibean.cz/sitemap.xml (declared in robots.txt; not fetched). No XML product feed URL exposed in robots.txt.,primary
poppybeans.cz,CZ,roaster,Poppy Beans Coffee,partially_restricted,shopify,high,~15 (15 distinct /products/ links on the collection page; no pagination or numeric count label rendered),none,https://poppybeans.cz/collections/zrnkova-kava,"https://poppybeans.cz/sitemap.xml (Shopify sitemap index; declared in robots.txt, not fetched). Shopify also exposes per-product .json/.js views and the shop advertises a UCP/MCP catalogue endpoint https://poppybeans.cz/api/ucp/mcp (per robots.txt comments).",primary
ohmybean.coffee,CZ,roaster,Oh My Bean Roastery,partially_restricted,shoptet,high,"12 products on /filtr/ (filter coffees); further coffee categories exist: /espresso/, /house-beans/, /kava/ (parent). No pagination on /filtr/ — single page.",none specified,https://www.ohmybean.coffee/filtr/,https://www.ohmybean.coffee/sitemap.xml (single flat urlset with product + category URLs; no separate product-only feed exposed in robots.txt),primary
kmen.coffee,CZ,roaster,Kmen Coffee Roasters,allowed,woocommerce,high,"38 products total (""38 produktů / Zobrazen 1. – 15. z 38 výsledků""), 3 pagination pages; includes some accessories (cupping spoon, Cafiza, cap)",none specified,https://kmen.coffee/shop-2/,"https://kmen.coffee/product-sitemap1.xml (product sitemap, from the sitemap index https://kmen.coffee/sitemaps.xml; also product_cat-sitemap1.xml)",primary
miacoffee.eu,CZ,roaster,MIA Coffee,allowed,custom,high,~25 product links rendered on /eshop/mia-coffee/ (own-roasted MIA coffees incl. sets and drip bags); no pagination counter label found,none specified,https://www.miacoffee.eu/eshop/mia-coffee/,none found (sitemap index https://www.miacoffee.eu/sitemaps/sitemap_4.xml → https://www.miacoffee.eu/sitemaps/general_4.xml; no product-specific feed named),primary
theminers.eu,CZ,roaster,The Miners Specialty Coffee Roasters,partially_restricted,shoptet,high,"~43 product cards on /e-shop/ (whole catalogue incl. drip bags, capsules, accessories); dedicated sub-categories exist: /coffee-beans/, /espresso-coffee-beans/, /filter-coffee-beans/",none specified,https://www.theminers.eu/e-shop/,https://www.theminers.eu/sitemap.xml (flat urlset with hreflang alternates covering product and category URLs; no separate product-only feed named in robots.txt),primary
libereckaprazirna.cz,CZ,roaster,Liberecká pražírna,partially_restricted,prestashop,medium,"16 items (""16 položek"") in the Pražená káva category; single page",none specified,https://www.libereckaprazirna.cz/10-prazena-kava,none found (sitemap index https://www.libereckaprazirna.cz/1_index_sitemap.xml → https://www.libereckaprazirna.cz/1_cs_0_sitemap.xml; no product-only feed named),primary
kavaloka.cz,CZ,roaster,KÁVALOKA,allowed,woocommerce,high,"~60-65 items across the whole e-shop (13 products per page, pagination up to page 5); coffee plus a few accessories",none,https://www.kavaloka.cz/e-shop/,https://www.kavaloka.cz/sitemap_index.xml (Yoast index; product sitemap expected inside — not fetched),primary
prazirnaignac.cz,CZ,roaster,Pražírna Ignác,partially_restricted,shoptet,high,~30 (12 product tiles per page; pagination /cerstve-prazena-kava/strana-2/ and /strana-3/ → roughly 25-36 coffees),none,https://www.prazirnaignac.cz/cerstve-prazena-kava/,"https://www.prazirnaignac.cz/sitemap.xml (fetched, 200, ~380 KB, contains product and category URLs). Shoptet XML product feeds live under /export/ which is Disallowed.",primary
usteckakava.cz,CZ,roaster,Ústecká pražírna,partially_restricted,shoptet,high,"~25 single-origin coffees in /kategorie/jednodruhove-kavy/ (25 distinct product URLs on one page, no pagination); further categories for blends, decaf, robusta, green coffee",none,https://www.usteckakava.cz/kategorie/jednodruhove-kavy/,https://www.usteckakava.cz/sitemap.xml (declared in robots.txt; not fetched). Shoptet /export/ XML feeds are Disallowed.,primary
kavaprodej.cz,CZ,roaster,Pražírna kávy Holešovice (Balírny Praha),no_robots,custom,medium,"~100 (25 product tiles per page, pagination index.php?p=2..4); the /zrnkova-kava URL resolves to the site root listing",none (no robots.txt),https://www.kavaprodej.cz/zrnkova-kava,"none found (no robots.txt, no Sitemap directive; no feed URL referenced on the pages fetched — not brute-forced)",primary
kamikava.cz,CZ,roaster,KAMIKAVA,allowed,eshop-rychle,high,"8 single-origin arabicas in /kava-arabica-jednodruhova (8 JSON-LD Product entries, single page); further coffee categories /vyberova-kava, /espresso-smesi, /robusta, /bezkofeinova-kava → roughly 25-40 coffees site-wide",2 seconds (Crawl-delay: 2),https://www.kamikava.cz/kava-arabica-jednodruhova,"http://www.kamikava.cz/sitemap.xml (declared in robots.txt; not fetched — note the Sitemap line uses http://, the site itself serves https)",primary
longberry.cz,CZ,roaster,LONGBERRY,allowed,woocommerce,high,"~22 product links rendered on the single category page; sidebar subcategory counts sum to ~29 coffee SKUs (Jednodruhová 13, Espresso směsi 7, Výběrová 3, Ochucená 3, Vícedruhová 2, Degustační balení 1). No pagination seen.",none specified,https://www.longberry.cz/kategorie-produktu/kava/,https://longberry.cz/sitemap_index.xml (sitemap index; no explicit XML/JSON product feed advertised),primary
alegrecafe.cz,CZ,roaster,Alegre Café Roasters,partially_restricted,shoptet,high,"6 (""6 položek celkem"" on /na-filtr/); site also has /na-espresso/, /bezkofeinova/, /degustacni-sety/ and 18 country subcategories under /dle-zemi/",none specified,https://www.alegrecafe.cz/na-filtr/,https://www.alegrecafe.cz/sitemap.xml → sitemap index pointing to https://www.alegrecafe.cz/sitemaps/sitemap0.xml.gz,primary
cafegape.eu,CZ,roaster,Café Gape,partially_restricted,shoptet,high,"9 (""9 položek celkem"" on /jednodruhova-kava/); broader coffee tree includes /kava-cafe-gape/, /espresso-100--arabika/, /kavove-smesi-like/ and /kava-bez-kofeinu/",none specified,https://www.cafegape.eu/jednodruhova-kava/,https://www.cafegape.eu/sitemap.xml (named in robots.txt); /export/ XML feeds are robots-disallowed,primary
henri.cz,CZ,roaster,Pražírna HENRI,partially_restricted,shoptet,high,"10 (""Stránka 1 z 1 - 10 položek celkem"" on /kavy/); subcategories /vyberova-kava/, /single-origin-arabica/, /kavove-smesi/",none specified,https://www.henri.cz/kavy/,https://www.henri.cz/sitemap.xml (named in robots.txt); /export/ feeds robots-disallowed,primary
kikafe.cz,CZ,roaster,KIKAFE,partially_restricted,shoptet,high,"12 (""12 položek celkem"" on /zrnkova-kava/), incl. one decaf and one cascara",none specified (on shop.kikafe.cz),https://shop.kikafe.cz/zrnkova-kava/,https://shop.kikafe.cz/sitemap.xml (named in robots.txt); /export/ disallowed,primary
lauracoffee.cz,CZ,roaster,Laura Coffee,allowed,custom,high,"15 distinct /produkt/ links on the single category page (no pagination markers found) — includes coffees plus a few related items (cascara, tasting packs, a mug)",none,https://lauracoffee.cz/kategorie/kava,"none found (sitemap.xml is a plain URL list of categories/products, no dedicated product feed named)",primary
usatakava.cz,CZ,roaster,UŠATÁ káva,partially_restricted,eshop-rychle,high,"~13-14 coffees on one page (no pagination); listing enumerates e.g. Uganda Mount Elgon, Salvador Pola Honey, Papua Nová Guinea, Guatemala Huehuetenango, Štramberský pozdrav, Vůně Štramberka, Colombia Decaf Excelso, Ethiopia Sidamo, Brazílie Minas Gerais, Peru Amazonas, Burundi Turaco, Colombia Excelso",none,https://usatakava.cz/cerstva-nabidka-usate-kavy-f608.html,https://usatakava.cz/sitemap.xml?filtr=zbozi&step=0 (product sitemap segment named by the sitemap index),primary
orientcoffee.com,CZ,roaster,Orient Coffee,partially_restricted,shoptet,medium,"17 (""17 položek celkem"" on /kava/, paginated over 2 pages, /kava/strana-2/)",none,https://www.orientcoffee.com/kava/,"none found beyond https://www.orientcoffee.com/sitemap.xml (plain URL list including product URLs); /export/ is Disallowed in robots.txt, so the Shoptet XML feeds under /export/ are off-limits",primary
kozak-kafe.cz,CZ,roaster,Kozák Coffee,allowed,shoptet,medium,"8 (""8 položek celkem"" on /prazena-kava/, no pagination); additional related categories /zelena-kava/, /espresso--crema/, /espresso--daily/, /espressopuro/",none,https://eshop.kozak-kafe.cz/prazena-kava/,"none found beyond https://eshop.kozak-kafe.cz/sitemap.xml → https://eshop.kozak-kafe.cz/sitemaps/sitemap0.xml.gz (gzipped URL sitemap, not a product attribute feed)",primary
kavaprolabuzniky.cz,CZ,roaster,Káva pro labužníky,partially_restricted,custom,low,"unknown exactly — no count label or pagination text observed; catalogue is split into 6 top categories with leaf sub-category pages per coffee (e.g. BIO Káva has 3: Brasilia Santos Organic, Ethiopia Organic, Peru Organic), so likely on the order of a few dozen products site-wide",20 seconds (Crawl-delay: 20) — honour it; this is the one site of the five that asks for slow crawling,"https://www.kavaprolabuzniky.cz/category/100_-arabica/1 (top categories: /category/100_-arabica/1, /category/100_-robusta/29, /category/aromatizovana-kava/33, /category/bezkofeinova-kava/44, /category/bio-kava/46, /category/espresso-smesi/50)","none found — sitemap_index.xml points only at sitemap.xml (a URL list, last modified 2024-08-01); no product attribute feed named",primary
chroast.cz,CZ,roaster,CHROAST Coffee Roasters,partially_restricted,shoptet,high,"5 filter coffees on /filtr/ (single page, no pagination); espresso coffees sit in a separate /espresso/ category, so roughly 10-15 coffees site-wide",none declared,https://www.chroast.cz/filtr/,https://www.chroast.cz/sitemap.xml (declared in robots.txt); no XML/JSON product feed publicly declared,primary
typika.coffee,CZ,roaster,TYPIKA Roastery,partially_restricted,shopify,high,"11 distinct /products/ links on the collection page (single page, no pagination) - about 10 coffees plus one subscription/baseline item",none declared,https://typika.coffee/collections/kava,https://typika.coffee/sitemap.xml (declared in robots.txt; Shopify sitemap index with product sitemaps). Shopify's conventional /products.json endpoint was not requested.,primary
mazelabcoffee.com,CZ,roaster,Mazelab Coffee,partially_restricted,shopify,high,"17 /products/ links on the page, of which roughly 10 are roasted coffees (badagalo, bursa, gichangi-estate-aa, hambella, kamavindi-sl, kamavindi-sl-honey, kamavindi-sl28-pb, kokose, la-gaviota, los-cenizos); the rest are green-bean lots and merch cross-links. Single page, no pagination.",none declared,https://mazelabcoffee.com/collections/coffee,https://mazelabcoffee.com/sitemap.xml (declared in robots.txt; Shopify sitemap index). Shopify's conventional /products.json endpoint was not requested.,primary
kavomilka.cz,CZ,roaster,Kávomilka,allowed,woocommerce,low,"~14 coffees linked from the homepage (bezkofeinova-brasil-santos, brasil-yellow-bourbon, columbia-supremo, cuba-serrano-superior, ethiopia-mocca-sidamo, flow-karibik-a-antily-smes, honduras-genuine-marcala, india-planta-little-flower, indonesia-jawa-blawan, kenya-ab-plus-meru, mexico-altura-ep-organic, nicaragua-talia-san-ramon, panama-boquette-premium, papua-new-guinea-sigri) plus ~6 sampler bundles (var-2x70g ... var-7x70g)",10,"https://kavomilka.cz/ (single-page shop; all coffees listed on the homepage, linking to /produkt/... - there is no separate whole-bean category page in the nav besides the ""Nabídka káv"" anchor)",https://kavomilka.cz/sitemap.xml -> WordPress sitemap index including https://kavomilka.cz/wp-sitemap-posts-product-1.xml (product sitemap). Not declared in robots.txt. WooCommerce/WP REST root https://kavomilka.cz/wp-json/ is linked from the HTML.,primary
kafepikola.cz,CZ,roaster,Kafe Pikola,allowed,upgates,high,"~22 products listed on /kava (single page): roughly 17 whole-bean coffees in espresso/filtr pairs (brazilie, guatemala, honduras x2, sumatra, tanzanie, kolumbie decaf, blends jizda/pauza/ritual) plus capsules and a dripbag",none declared,https://www.kafepikola.cz/kava,"https://www.kafepikola.cz/sitemap.xml (declared in robots.txt); an /sitemap HTML site map and an RSS link are in the footer. No XML/JSON product feed publicly advertised (Upgates feeds are normally private per-token URLs, not probed).",primary
rodinnakava.cz,CZ,roaster,Rodinná káva Znojmo,partially_restricted,custom,high,"~17 product URLs in the ARABICA category (counted from unique /product/ links; each origin exists as 250g/500g/1000g separate products, so roughly 6 distinct coffees). Other coffee categories: /category/smesi/23 (blends), /category/cascara/47","20 seconds (Crawl-delay: 20) — the strictest of the five; a polite crawler should honour it, so a full catalogue crawl takes a while",https://www.rodinnakava.cz/category/arabica/6,none found (no Sitemap: line in robots.txt; no feed advertised). Not probed further per instructions.,primary
putovniprazirna.cz,CZ,roaster,Putovní Pražírna,partially_restricted,shoptet,high,"~9 coffee products on the single category page (9 data-micro-product-id items; 'položek celkem' label present, no extra pagination pages observed) — small, frequently rotating selection",none declared,https://shop.putovniprazirna.cz/kava-2/,https://shop.putovniprazirna.cz/sitemap.xml (named in robots.txt). Shoptet XML product feeds live under /export/ which is explicitly Disallowed — do not fetch those.,primary
donfranko.cz,CZ,roaster,Don Franko,partially_restricted,shoptet,medium,~14 products on the arabica category page (14 data-micro-product-id items; page carries a 'X produktů v kategorii' label). Additional coffee lives under /specialni-nabidka/ and /kava-pro-firmy-velkoobchod/,none declared,https://www.donfranko.cz/kava-arabica/,https://www.donfranko.cz/sitemap.xml (declared in robots.txt). /export/ feeds exist on Shoptet but are Disallowed.,primary
caffka.cz,CZ,roaster,Caffka,allowed,laravel,unknown,"unknown — the /kavy listing returned only the shell (products rendered client-side / via /api); the only catalogue signal was a pagination link to /kavy?page=2, so at least 2 pages. Homepage shows ~4 featured coffees (Costa Rica Cascara, Keňa Ichuga, Peru, Tanzania).",none declared,https://www.caffka.cz/kavy,"none found — robots.txt names no Sitemap, and https://www.caffka.cz/sitemap.xml returns an HTML 404 page.",primary
crosscafeprazirna.cz,CZ,roaster,CrossCafe Pražírna,partially_restricted,shoptet,high,"~20 items listed on /kava/ (20 data-micro-product-id items; sub-categories /espresso/, /filtr/, /bezkofein/ split the same range, and many coffees exist as 250 g / 500 g / 1 kg separate SKUs)",none declared,https://www.crosscafeprazirna.cz/kava/,https://www.crosscafeprazirna.cz/sitemap.xml (declared in robots.txt). /export/ Shoptet feeds are Disallowed.,primary
melodyroastery.sk,SK,roaster,Melody Fine Roastery,partially_restricted,shoptet,high,"~10 coffees listed on /kava/ (single page, no pagination)",none,https://www.melodyroastery.sk/kava/,https://www.melodyroastery.sk/sitemap.xml (declared in robots.txt; standard Shoptet XML urlset including product URLs). No dedicated product XML feed exposed publicly.,primary
praziarenepera.sk,SK,roaster,Epera Coffee,allowed,woocommerce,high,"~24 products on page 1, 2 pages total → roughly 30-40 fresh-coffee SKUs",none,https://www.praziarenepera.sk/kategoria-produktu/cerstva-kava/,https://www.praziarenepera.sk/wp-sitemap.xml (robots-declared); category RSS feed also linked: https://www.praziarenepera.sk/kategoria-produktu/cerstva-kava/feed/,primary
twohands.sk,SK,roaster,Two Hands Roastery,allowed,woocommerce,high,"~29 product URLs on the shop page (single page, no pagination), of which roughly 10-15 are coffees; the rest are brewing gear and merch",none,https://www.twohands.sk/obchod/,"https://www.twohands.sk/sitemap_index.xml (robots-declared Yoast index, includes a product sitemap); RSS at https://www.twohands.sk/feed/",primary
fabbricacafe.sk,SK,roaster,Fabbrica Cafe,allowed,opencart,medium,12 ('Zobrazenie 1 až 12 z 12 (1 stránok)') in single-origin; additional categories /kavove-zmesi and /special exist,none,https://www.fabbricacafe.sk/jednodruhova-kava,https://www.fabbricacafe.sk/index.php?route=feed/google_sitemap (explicitly Allowed and declared as Sitemap in robots.txt) — an OpenCart Google sitemap feed; a human sitemap page also exists at /sitemap,primary
zahorackapraziaren.sk,SK,roaster,Záhorácka pražiareň,partially_restricted,prestashop,medium,"28 ('Zobrazuje sa 1-21 z 28 položiek', 21 per page, 2 pages)",none,https://zahorackapraziaren.sk/3-zrnkova-kava,none found (robots.txt declares no Sitemap; no feed link observed and no brute-forcing done),primary
severan.eu,SK,roaster,Severan,allowed,woocommerce,high,"17 (""Zobrazených 1–16 z 17 výsledkov"", 2 pages) - whole shop, includes blends/flavoured",none,https://severan.eu/shop/,"https://severan.eu/shop/feed/ (WooCommerce RSS, linked on the listing); sitemap index https://severan.eu/sitemap_index.xml (not fetched)",primary
kavamagula.sk,SK,roaster,Káva Magula,partially_restricted,upgates,medium,"~12-13 in ""Pražená káva"" (filter label ""Skladom (12)"", ""Magula roastery s.r.o. (12)""); 6 subcategories (100% Arabica, 100% Robusta, zmesi, bezkofeínová, zelená mletá, darčekové balenia)",none,https://www.kavamagula.sk/prazena-kava,"https://www.kavamagula.sk/feed-rss.xml (linked in the page head/markup, Upgates RSS product feed - not fetched); sitemap https://www.kavamagula.sk/sitemap.xml",primary
nuomad.sk,SK,roaster,Nômad,allowed,other/unknown,low,"8 coffees listed as teasers on the homepage section (Brazília, Espresso zmes B-100, B-50, B-80, Etiópia, India, Kolumbia, Peru) - no prices, no product detail pages on this domain",none,"https://www.nuomad.sk/#kava (on-page ""Pražená káva"" section; the ""E-shop"" button points off-domain to https://www.kavomil.sk)","none found - sitemap index (https://www.nuomad.sk/sitemap.xml) lists post-sitemap.xml, page-sitemap.xml, dtr_portfolio-sitemap.xml, category-sitemap.xml, dtr_portfoliotags-sitemap.xml only",primary
ripit.sk,SK,roaster,Ripit Roastery,allowed,woocommerce,high,"32 (""Počet produktov: 32"" on the listing; paginated, /obchod/kavy/page/2/)",none,https://ripit.sk/obchod/kavy/ (subcategories /obchod/kavy/espresso/ and /obchod/kavy/filter/),none found beyond https://ripit.sk/sitemap.xml (named in robots.txt; not fetched),primary
triproasters.sk,SK,roaster,Trip Coffee Roasters,partially_restricted,woocommerce,high,"14 (""Zobrazuje sa 14 výsledkov"", single page); sibling categories /espresso/, /filter/, /bezkofeinova-kava/",none,https://triproasters.sk/vyberova-kava/,"none found - robots names only the sitemap index https://triproasters.sk/sitemap_index.xml (not fetched); /*/feed/ is explicitly disallowed, so WooCommerce RSS feeds are off-limits",primary
coffeeveronia.sk,SK,roaster,Coffee Veronia,allowed,shoptet,high,"117 items in /kava/ (""Zobrazených položiek: 117"", 4 pages of 36; includes ground + flavoured coffee, not only whole bean)",none specified,https://www.coffeeveronia.sk/kava/,https://www.coffeeveronia.sk/sitemap.xml (gzipped child sitemap); no dedicated product XML/JSON feed advertised,primary
finecoffee.sk,SK,roaster,Fine Coffee SK,allowed,woocommerce,high,"9 (""Zobrazuje sa 9 výsledkov"", single page) in Pražená zrnková káva",none specified,"https://www.finecoffee.sk/kategoria-produktu/prazena-kava/ (the /kava/ hint URL is an editorial page, not the shop category)",none found (no Sitemap: line in robots.txt; did not probe further),primary
spojkaroastery.com,SK,roaster,Spojka Roastery,allowed,shopify,high,"16 products on page 1 of /collections/all with pagination present; coffee split across collections espresso, filtrovana-kava, drip-bagy — roughly 20-40 items total incl. merch/tea",apex: Crawl-delay: 2; shop subdomain: none specified,https://shop.spojkaroastery.com/collections/espresso and /collections/filtrovana-kava (also /collections/all),https://shop.spojkaroastery.com/sitemap.xml (Shopify sitemap index incl. sitemap_products_*.xml); UCP/MCP catalog endpoint advertised at https://shop.spojkaroastery.com/api/ucp/mcp,primary
verticcio.sk,SK,roaster,Verticcio,partially_restricted,prestashop,high,"unclear from page 1; ~19 distinct /kava/* product URLs visible on the listing, own-roast subcategory 'Káva Verticcio' is the main coffee set (order of tens). No explicit total count rendered in HTML (counts are injected client-side).",none specified,https://www.verticcio.sk/kava (coffee) with subcategory /kava-verticcio/ for own roasts,none found (no Sitemap: line in robots.txt; did not probe),primary
karmacoffee.sk,SK,roaster,Karma Coffee,allowed,woocommerce,high,"~13 products linked on the 'Naša káva' page (no woocommerce-result-count, no pagination); includes a few teas",none specified,"https://www.karmacoffee.sk/nasa-kava/ (products live under /obchod/<slug>/, category also at /kategoria-produktu/nasa-kava/)",none found (no Sitemap: line in robots.txt; did not probe),primary
riksakava.sk,SK,roaster,Rikša Káva,allowed,woocommerce,high,"11 (""Zobrazuje sa všetkych 11 výsledkov"", single page, no pagination)",none,https://www.riksakava.sk/product-category/ponuka-kav/,https://www.riksakava.sk/product-sitemap.xml (from https://www.riksakava.sk/sitemap.xml — Yoast index; robots.txt itself lists no Sitemap),primary
bozinroastery.sk,SK,roaster,Bozin Roastery,allowed,woocommerce,high,"32 (""Zobrazených 1–12 z 32 výsledkov"", 12 per page, numbered page-numbers pagination)",none,https://www.bozinroastery.sk/kava/,https://www.bozinroastery.sk/sitemap.xml is a sitemap index (Google Sitemap Generator) including category and post/product sitemaps; no dedicated product XML/JSON feed found,primary
dobrakava.eu,SK,roaster,Dobrá Káva,allowed,custom,high,"~10-12 roasted coffees linked on the page (e.g. /dobrakava/brazil-barrique, /kava/prazena/columbo, /kava/prazena/dobrakava, /kava/prazena/ine subcategories); no numeric count label or pagination shown",none,https://www.dobrakava.eu/kava/prazena,none found (sitemap is a flat urlset; no product feed),primary
jagerkaffee.com,SK,roaster,Jager Kaffee,allowed,woocommerce,low,"13 product links on the page (no count label, no pagination; ""Zobraziť viac / Zobraziť menej"" toggle)",none,https://jagerkaffee.com/produkty,https://jagerkaffee.com/wp-sitemap-posts-product-1.xml (from https://jagerkaffee.com/wp-sitemap.xml),primary
doraz.sk,SK,roaster,Doraz Café & Roastery,allowed,woocommerce,high,"~17 distinct product URLs on the shop page (no count label visible; sub-categories /arabiky/, /blendy/, /limitovane-edicie/)",none,https://doraz.sk/obchod/,"https://doraz.sk/product-sitemap.xml (from https://doraz.sk/sitemap_index.xml, named in robots.txt); also a WooCommerce RSS feed exists at https://doraz.sk/obchod/feed/ (linked in the page, not fetched)",primary
